"TIME","GEO","UNIT","ICCS","Value","Flag and Footnotes"
"2003-01-01T00:00:00","Lithuania","Number","Robbery","4,919",""
"2004-01-01T00:00:00","Lithuania","Number","Robbery","5,323",""
"2005-01-01T00:00:00","Lithuania","Number","Robbery","5,206",""
"2006-01-01T00:00:00","Lithuania","Number","Robbery","4,343",""
"2007-01-01T00:00:00","Lithuania","Number","Robbery","3,802",""
"2008-01-01T00:00:00","Lithuania","Number","Robbery","3,452",""
"2009-01-01T00:00:00","Lithuania","Number","Robbery","3,363",""
"2010-01-01T00:00:00","Lithuania","Number","Robbery","2,727",""
"2011-01-01T00:00:00","Lithuania","Number","Robbery","2,502",""
"2012-01-01T00:00:00","Lithuania","Number","Robbery","1,923",""
"2003-01-01T00:00:00","Luxembourg","Number","Robbery","374",""
"2004-01-01T00:00:00","Luxembourg","Number","Robbery","339",""
"2005-01-01T00:00:00","Luxembourg","Number","Robbery","351",""
"2006-01-01T00:00:00","Luxembourg","Number","Robbery","263",""
"2007-01-01T00:00:00","Luxembourg","Number","Robbery","331",""
"2008-01-01T00:00:00","Luxembourg","Number","Robbery","260",""
"2009-01-01T00:00:00","Luxembourg","Number","Robbery","365",""
"2010-01-01T00:00:00","Luxembourg","Number","Robbery","316",""
"2011-01-01T00:00:00","Luxembourg","Number","Robbery","356",""
"2012-01-01T00:00:00","Luxembourg","Number","Robbery","457",""
"2003-01-01T00:00:00","Hungary","Number","Robbery","3,289",""
"2004-01-01T00:00:00","Hungary","Number","Robbery","3,227",""
"2005-01-01T00:00:00","Hungary","Number","Robbery","2,982",""
"2006-01-01T00:00:00","Hungary","Number","Robbery","2,709",""
"2007-01-01T00:00:00","Hungary","Number","Robbery","3,119",""
"2008-01-01T00:00:00","Hungary","Number","Robbery","3,128",""
"2009-01-01T00:00:00","Hungary","Number","Robbery","3,158",""
"2010-01-01T00:00:00","Hungary","Number","Robbery","3,396",""
"2011-01-01T00:00:00","Hungary","Number","Robbery","3,186",""
"2012-01-01T00:00:00","Hungary","Number","Robbery","3,020",""
"2003-01-01T00:00:00","Malta","Number","Robbery","195",""
"2004-01-01T00:00:00","Malta","Number","Robbery","265",""
"2005-01-01T00:00:00","Malta","Number","Robbery","256",""
"2006-01-01T00:00:00","Malta","Number","Robbery","222",""
"2007-01-01T00:00:00","Malta","Number","Robbery","200",""
"2008-01-01T00:00:00","Malta","Number","Robbery","147",""
"2009-01-01T00:00:00","Malta","Number","Robbery","202",""
"2010-01-01T00:00:00","Malta","Number","Robbery","196",""
"2011-01-01T00:00:00","Malta","Number","Robbery","219",""
"2012-01-01T00:00:00","Malta","Number","Robbery","257",""
"2003-01-01T00:00:00","Netherlands","Number","Robbery","20,018",""
"2004-01-01T00:00:00","Netherlands","Number","Robbery","17,683",""
"2005-01-01T00:00:00","Netherlands","Number","Robbery","16,445",""
"2006-01-01T00:00:00","Netherlands","Number","Robbery","14,485",""
"2007-01-01T00:00:00","Netherlands","Number","Robbery","13,660",""
"2008-01-01T00:00:00","Netherlands","Number","Robbery","13,175",""
"2009-01-01T00:00:00","Netherlands","Number","Robbery","16,265",""
"2010-01-01T00:00:00","Netherlands","Number","Robbery","16,105",""
"2011-01-01T00:00:00","Netherlands","Number","Robbery","15,400",""
"2012-01-01T00:00:00","Netherlands","Number","Robbery","14,750",""
"2003-01-01T00:00:00","Austria","Number","Robbery","4,434",""
"2004-01-01T00:00:00","Austria","Number","Robbery","4,798",""
"2005-01-01T00:00:00","Austria","Number","Robbery","4,770",""
"2006-01-01T00:00:00","Austria","Number","Robbery","5,095",""
"2007-01-01T00:00:00","Austria","Number","Robbery","5,036",""
"2008-01-01T00:00:00","Austria","Number","Robbery","4,786",""
"2009-01-01T00:00:00","Austria","Number","Robbery","4,577",""
"2010-01-01T00:00:00","Austria","Number","Robbery","4,310",""
"2011-01-01T00:00:00","Austria","Number","Robbery","4,066",""
"2012-01-01T00:00:00","Austria","Number","Robbery","4,092",""
"2003-01-01T00:00:00","Poland","Number","Robbery","44,086",""
"2004-01-01T00:00:00","Poland","Number","Robbery","41,287",""
"2005-01-01T00:00:00","Poland","Number","Robbery","36,347",""
"2006-01-01T00:00:00","Poland","Number","Robbery","29,472",""
"2007-01-01T00:00:00","Poland","Number","Robbery","22,766",""
"2008-01-01T00:00:00","Poland","Number","Robbery","21,085",""
"2009-01-01T00:00:00","Poland","Number","Robbery","20,583",""
"2010-01-01T00:00:00","Poland","Number","Robbery","19,359",""
"2011-01-01T00:00:00","Poland","Number","Robbery","17,729",""
"2012-01-01T00:00:00","Poland","Number","Robbery","16,685",""
"2003-01-01T00:00:00","Portugal","Number","Robbery","19,767",""
"2004-01-01T00:00:00","Portugal","Number","Robbery","21,051",""
"2005-01-01T00:00:00","Portugal","Number","Robbery","20,183",""
"2006-01-01T00:00:00","Portugal","Number","Robbery","20,870",""
"2007-01-01T00:00:00","Portugal","Number","Robbery","18,427",""
"2008-01-01T00:00:00","Portugal","Number","Robbery","20,807",""
"2009-01-01T00:00:00","Portugal","Number","Robbery","20,460",""
"2010-01-01T00:00:00","Portugal","Number","Robbery","20,423",""
"2011-01-01T00:00:00","Portugal","Number","Robbery","20,353",""
"2012-01-01T00:00:00","Portugal","Number","Robbery","18,504",""
"2003-01-01T00:00:00","Romania","Number","Robbery","2,782",""
"2004-01-01T00:00:00","Romania","Number","Robbery","3,087",""
"2005-01-01T00:00:00","Romania","Number","Robbery","3,326",""
"2006-01-01T00:00:00","Romania","Number","Robbery","4,078",""
"2007-01-01T00:00:00","Romania","Number","Robbery","2,496",""
"2008-01-01T00:00:00","Romania","Number","Robbery","2,464",""
"2009-01-01T00:00:00","Romania","Number","Robbery","2,541",""
"2010-01-01T00:00:00","Romania","Number","Robbery","2,484",""
"2011-01-01T00:00:00","Romania","Number","Robbery","2,251",""
"2012-01-01T00:00:00","Romania","Number","Robbery","3,193",""
"2003-01-01T00:00:00","Slovenia","Number","Robbery","349",""
"2004-01-01T00:00:00","Slovenia","Number","Robbery","398",""
"2005-01-01T00:00:00","Slovenia","Number","Robbery","429",""
"2006-01-01T00:00:00","Slovenia","Number","Robbery","525",""
"2007-01-01T00:00:00","Slovenia","Number","Robbery","450",""
"2008-01-01T00:00:00","Slovenia","Number","Robbery","386",""
"2009-01-01T00:00:00","Slovenia","Number","Robbery","481",""
"2010-01-01T00:00:00","Slovenia","Number","Robbery","463",""
"2011-01-01T00:00:00","Slovenia","Number","Robbery","403",""
"2012-01-01T00:00:00","Slovenia","Number","Robbery","391",""
"2003-01-01T00:00:00","Slovakia","Number","Robbery","1,918",""
"2004-01-01T00:00:00","Slovakia","Number","Robbery","2,156",""
