Id,Country,City,Latitude,Longitude,Altitude,"position.minLat","position.maxLat","position.minLong","position.maxLong","position.lat","position.long","position.Altitude"
53,Afghanistan,"Kalat-i-Ghilzai","32.1000000","66.9100037","1535.0","32.095","32.105000000000004","66.90500370000001","66.9150037","32.1","66.9100037","1535.0"
54,Afghanistan,Ashkasham,"36.6833333","71.5333328","3037.0","36.6783333","36.688333300000004","71.5283328","71.53833279999999","36.6833333","71.5333328","3037.0"
55,Afghanistan,Jorm,"36.8666667","70.8344421","1508.0","36.8616667","36.871666700000006","70.82944210000001","70.8394421","36.8666667","70.8344421","1508.0"
56,Afghanistan,Kuhestan,"34.6538889","61.1977768","734.0","34.648888899999996","34.6588889","61.1927768","61.2027768","34.6538889","61.1977768","734.0"
57,Afghanistan,Tokzar,"35.9488889","66.4199982","1253.0","35.9438889","35.9538889","66.4149982","66.42499819999999","35.9488889","66.4199982","1253.0"
58,Afghanistan,"Char Burj","34.2400000","62.1899986","967.0","34.235","34.245000000000005","62.1849986","62.194998600000005","34.24","62.1899986","967.0"
59,Afghanistan,"Lar Gerd","35.4897222","66.6636124","1867.0","35.4847222","35.494722200000005","66.65861240000001","66.6686124","35.4897222","66.6636124","1867.0"
60,Afghanistan,Rudbar,"30.1500000","62.5999985","573.0","30.145","30.154999999999998","62.594998499999996","62.6049985","30.15","62.5999985","573.0"
61,Afghanistan,Farkhar,"36.5722222","69.8580551","1135.0","36.567222199999996","36.5772222","69.8530551","69.8630551","36.5722222","69.8580551","1135.0"
62,Afghanistan,"Zendeh Jan","34.3455556","61.7316666","844.0","34.340555599999995","34.3505556","61.726666599999994","61.7366666","34.3455556","61.7316666","844.0"
63,Afghanistan,"Anar Darreh","32.7622222","61.6525002","801.0","32.757222199999994","32.7672222","61.647500199999996","61.6575002","32.7622222","61.6525002","801.0"
64,Afghanistan,"Emam Saheb","37.1822222","68.9124985","340.0","37.177222199999996","37.1872222","68.9074985","68.9174985","37.1822222","68.9124985","340.0"
65,Afghanistan,Darzab,"35.9783333","65.3791656","1224.0","35.9733333","35.983333300000005","65.3741656","65.38416559999999","35.9783333","65.3791656","1224.0"
66,Afghanistan,"`Alaqehdari Deh-e Shu","30.4347222","63.3072205","584.0","30.4297222","30.4397222","63.3022205","63.3122205","30.4347222","63.3072205","584.0"
67,Afghanistan,"Tagow Bay","35.7016667","66.0613861","1845.0","35.696666699999994","35.7066667","66.0563861","66.06638609999999","35.7016667","66.06138609999999","1845.0"
68,Afghanistan,Darvishan,"31.1333333","64.1924973","719.0","31.1283333","31.1383333","64.1874973","64.1974973","31.1333333","64.1924973","719.0"
69,Afghanistan,"Qarchi Gak","37.0355556","66.7888870","298.0","37.0305556","37.040555600000005","66.78388700000001","66.793887","37.0355556","66.788887","298.0"
70,Afghanistan,"Dasht-e Archi","37.1333333","69.1666641","372.0","37.128333299999994","37.1383333","69.16166410000001","69.1716641","37.1333333","69.1666641","372.0"
71,Afghanistan,"Qal`eh Shahr","35.5483333","65.5677795","2159.0","35.5433333","35.553333300000006","65.5627795","65.5727795","35.5483333","65.5677795","2159.0"
72,Afghanistan,"Zareh Sharan","33.1466667","68.7916641","2141.0","33.141666699999995","33.1516667","68.78666410000001","68.7966641","33.1466667","68.7916641","2141.0"
73,Afghanistan,"Tir Pol","34.5952778","61.2669449","768.0","34.590277799999996","34.6002778","61.261944899999996","61.2719449","34.5952778","61.2669449","768.0"
74,Afghanistan,"Mohmand Darrah","34.2400000","70.8700027","481.0","34.235","34.245000000000005","70.8650027","70.8750027","34.24","70.8700027","481.0"
75,Afghanistan,"Yengi Qal`eh","37.4672222","69.6091690","481.0","37.4622222","37.472222200000004","69.604169","69.61416899999999","37.4672222","69.609169","481.0"
76,Afghanistan,Tagao,"34.8500000","69.6399994","1453.0","34.845","34.855000000000004","69.6349994","69.64499939999999","34.85","69.6399994","1453.0"
77,Afghanistan,Khandud,"36.9488889","72.3169479","2918.0","36.9438889","36.9538889","72.3119479","72.3219479","36.9488889","72.3169479","2918.0"
78,Afghanistan,"Mir Bachcheh Kowt","34.7488889","69.1191635","1691.0","34.743888899999995","34.7538889","69.1141635","69.1241635","34.7488889","69.1191635","1691.0"
79,Afghanistan,Dorufchah,"36.4397222","70.0838852","4290.0","36.434722199999996","36.4447222","70.0788852","70.08888519999999","36.4397222","70.0838852","4290.0"
80,Afghanistan,"Dahaneh-ye Ghowri","35.9075000","68.4938889","758.0","35.902499999999996","35.9125","68.4888889","68.4988889","35.9075","68.4938889","758.0"
81,Afghanistan,"Lab-Sar","36.0261111","66.8386078","1043.0","36.0211111","36.031111100000004","66.83360780000001","66.8436078","36.0261111","66.8386078","1043.0"
82,Afghanistan,Darwazkay,"35.0200000","71.0400009","2508.0","35.015","35.025000000000006","71.0350009","71.04500089999999","35.02","71.0400009","2508.0"
83,Afghanistan,Munay,"34.9800000","71.2500000","995.0","34.974999999999994","34.985","71.245","71.255","34.98","71.25","995.0"
84,Afghanistan,Mulkanah,"34.9400000","71.0599976","1181.0","34.934999999999995","34.945","71.05499760000001","71.0649976","34.94","71.0599976","1181.0"
85,Albania,Tirana,"41.3275000","19.8188896","103.0","41.3225","41.3325","19.8138896","19.823889599999998","41.3275","19.8188896","103.0"
86,Albania,Durres,"41.3230556","19.4413891","-9999.0","41.3180556","41.328055600000006","19.4363891","19.446389099999998","41.3230556","19.4413891","-9999.0"
87,Albania,Elbasan,"41.1125000","20.0822220","126.0","41.107499999999995","41.1175","20.077222000000003","20.087222","41.1125","20.082222","126.0"
